"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>";
//Version 2.57.2//
"mainmenu/custom_lang_info";"<color=#BEBEBE>LLM</color>";"<color=#BEBEBE>LLM</color>";"<color=#BEBEBE>LLM</color>";"<color=#BEBEBE>LLM</color>";"<color=#BEBEBE>LLM</color>";"Включена пользовательская локализация";"<color=#BEBEBE>LLM</color>";"<color=#BEBEBE>LLM</color>";"<color=#BEBEBE>LLM</color>";"<color=#BEBEBE>LLM</color>";"<color=#BEBEBE>LLM</color>";"<color=#BEBEBE>LLM</color>";"Включена пользовательская локализация";"<color=#BEBEBE>LLM</color>";"<color=#BEBEBE>LLM</color>";"<color=#BEBEBE>LLM</color>";"Включена пользовательская локализация";"<color=#BEBEBE>LLM</color>";"<color=#BEBEBE>LLM</color>";"<color=#BEBEBE>LLM</color>";;;
"mainmenu/custom_lang_info/tooltip";"You are running Leroy's Lang Modification <color=#E61E1E>(V2.57.2)</color>. Bring Kuma bribes if issues are found.";"You are running Leroy's Lang Modification <color=#E61E1E>(V2.57.2)</color>. Bring Kuma bribes if issues are found.";"You are running Leroy's Lang Modification <color=#E61E1E>(V2.57.2)</color>. Bring Kuma bribes if issues are found.";"You are running Leroy's Lang Modification <color=#E61E1E>(V2.57.2)</color>. Bring Kuma bribes if issues are found.";"You are running Leroy's Lang Modification <color=#E61E1E>(V2.57.2)</color>. Bring Kuma bribes if issues are found.";"У вас включена пользовательская локализация. Если некоторые тексты в игре отображаются некорректно, обратитесь к автору установленной пользовательской локализации (мода) или отключите её.";"You are running Leroy's Lang Modification <color=#E61E1E>(V2.57.2)</color>. Bring Kuma bribes if issues are found.";"You are running Leroy's Lang Modification <color=#E61E1E>(V2.57.2)</color>. Bring Kuma bribes if issues are found.";"You are running Leroy's Lang Modification <color=#E61E1E>(V2.57.2)</color>. Bring Kuma bribes if issues are found.";"You are running Leroy's Lang Modification <color=#E61E1E>(V2.57.2)</color>. Bring Kuma bribes if issues are found.";"You are running Leroy's Lang Modification <color=#E61E1E>(V2.57.2)</color>. Bring Kuma bribes if issues are found.";"You are running Leroy's Lang Modification <color=#E61E1E>(V2.57.2)</color>. Bring Kuma bribes if issues are found.";"У вас включена пользовательская локализация. Если некоторые тексты в игре отображаются некорректно, обратитесь к автору установленной пользовательской локализации (мода) или отключите её.";"You are running Leroy's Lang Modification <color=#E61E1E>(V2.57.2)</color>. Bring Kuma bribes if issues are found.";"You are running Leroy's Lang Modification <color=#E61E1E>(V2.57.2)</color>. Bring Kuma bribes if issues are found.";"You are running Leroy's Lang Modification <color=#E61E1E>(V2.57.2)</color>. Bring Kuma bribes if issues are found.";"У вас включена пользовательская локализация. Если некоторые тексты в игре отображаются некорректно, обратитесь к автору установленной пользовательской локализации (мода) или отключите её.";"You are running Leroy's Lang Modification <color=#E61E1E>(V2.57.2)</color>. Bring Kuma bribes if issues are found.";"You are running Leroy's Lang Modification <color=#E61E1E>(V2.57.2)</color>. Bring Kuma bribes if issues are found.";"You are running Leroy's Lang Modification <color=#E61E1E>(V2.57.2)</color>. Bring Kuma bribes if issues are found.";;;
//
"attachables/type_89f";"Type 89 Rifle";"Type 89 Rifle";"Type 89 Rifle";"Type 89 Rifle";"Type 89 Rifle";"Type 89 Rifle";"Type 89 Rifle";"Type 89 Rifle";"Type 89 Rifle";"Type 89 Rifle";"Type 89 Rifle";"Type 89 Rifle";"Type 89 Rifle";"Type 89 Rifle";"Type 89 Rifle";"Type 89 Rifle";"Type 89 Rifle";"Type 89 Rifle";"Type 89 Rifle";"Type 89 Rifle";;;
"attachables/type_89f/desc";"Type 89 5.56mm Rifle (Folding Buttstock Type)";"Type 89 5.56mm Rifle (Folding Buttstock Type)";"Type 89 5.56mm Rifle (Folding Buttstock Type)";"Type 89 5.56mm Rifle (Folding Buttstock Type)";"Type 89 5.56mm Rifle (Folding Buttstock Type)";"Type 89 5.56mm Rifle (Folding Buttstock Type)";"Type 89 5.56mm Rifle (Folding Buttstock Type)";"Type 89 5.56mm Rifle (Folding Buttstock Type)";"Type 89 5.56mm Rifle (Folding Buttstock Type)";"Type 89 5.56mm Rifle (Folding Buttstock Type)";"Type 89 5.56mm Rifle (Folding Buttstock Type)";"Type 89 5.56mm Rifle (Folding Buttstock Type)";"Type 89 5.56mm Rifle (Folding Buttstock Type)";"Type 89 5.56mm Rifle (Folding Buttstock Type)";"Type 89 5.56mm Rifle (Folding Buttstock Type)";"Type 89 5.56mm Rifle (Folding Buttstock Type)";"Type 89 5.56mm Rifle (Folding Buttstock Type)";"Type 89 5.56mm Rifle (Folding Buttstock Type)";"Type 89 5.56mm Rifle (Folding Buttstock Type)";"Type 89 5.56mm Rifle (Folding Buttstock Type)";;;
"attachables/sweden_ak5d";"Ak 5D";"Ak 5D";"Ak 5D";"Ak 5D";"Ak 5D";"Ak 5D";"Ak 5D";"Ak 5D";"Ak 5D";"Ak 5D";"Ak 5D";"Ak 5D";"Ak 5D";"Ak 5D";"Ak 5D";"Ak 5D";"Ak 5D";"Ak 5D";"Ak 5D";"Ak 5D";;;
"attachables/sweden_ak5d/desc";"Automatkarbin 5 David";"Automatkarbin 5 David";"Automatkarbin 5 David";"Automatkarbin 5 David";"Automatkarbin 5 David";"Automatkarbin 5 David";"Automatkarbin 5 David";"Automatkarbin 5 David";"Automatkarbin 5 David";"Automatkarbin 5 David";"Automatkarbin 5 David";"Automatkarbin 5 David";"Automatkarbin 5 David";"Automatkarbin 5 David";"Automatkarbin 5 David";"Automatkarbin 5 David";"Automatkarbin 5 David";"Automatkarbin 5 David";"Automatkarbin 5 David";"Automatkarbin 5 David";;;
"attachables/scs_70_90";"SCS 70/90";"SCS 70/90";"SCS 70/90";"SCS 70/90";"SCS 70/90";"SCS 70/90";"SCS 70/90";"SCS 70/90";"SCS 70/90";"SCS 70/90";"SCS 70/90";"SCS 70/90";"SCS 70/90";"SCS 70/90";"SCS 70/90";"SCS 70/90";"SCS 70/90";"SCS 70/90";"SCS 70/90";"SCS 70/90";;;
"attachables/scs_70_90/desc";"Special Carbine, Short 70/90";"Special Carbine, Short 70/90";"Special Carbine, Short 70/90";"Special Carbine, Short 70/90";"Special Carbine, Short 70/90";"Special Carbine, Short 70/90";"Special Carbine, Short 70/90";"Special Carbine, Short 70/90";"Special Carbine, Short 70/90";"Special Carbine, Short 70/90";"Special Carbine, Short 70/90";"Special Carbine, Short 70/90";"Special Carbine, Short 70/90";"Special Carbine, Short 70/90";"Special Carbine, Short 70/90";"Special Carbine, Short 70/90";"Special Carbine, Short 70/90";"Special Carbine, Short 70/90";"Special Carbine, Short 70/90";"Special Carbine, Short 70/90";;;
"attachables/m4_carbine_ag";"M4 Carbine (M203)";"M4 Carbine (M203)";"M4 Carbine (M203)";"M4 Carbine (M203)";"M4 Carbine (M203)";"M4 Carbine (M203)";"M4 Carbine (M203)";"M4 Carbine (M203)";"M4 Carbine (M203)";"M4 Carbine (M203)";"M4 Carbine (M203)";"M4 Carbine (M203)";"M4 Carbine (M203)";"M4 Carbine (M203)";"M4 Carbine (M203)";"M4 Carbine (M203)";"M4 Carbine (M203)";"M4 Carbine (M203)";"M4 Carbine (M203)";"M4 Carbine (M203)";;;
