"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Vietnamese>";"<Comments>";"<max_chars>"
//Changed or kept tips//
"loading/tip0";"You can use zoom to see the target better.";"You can use zoom to see the target better.";"You can use zoom to see the target better.";"You can use zoom to see the target better.";"You can use zoom to see the target better.";"You can use zoom to see the target better.";"You can use zoom to see the target better.";"You can use zoom to see the target better.";"You can use zoom to see the target better.";"You can use zoom to see the target better.";"You can use zoom to see the target better.";"You can use zoom to see the target better.";"You can use zoom to see the target better.";"You can use zoom to see the target better.";"You can use zoom to see the target better.";"You can use zoom to see the target better.";"You can use zoom to see the target better.";"You can use zoom to see the target better.";"You can use zoom to see the target better.";"You can use zoom to see the target better.";"You can use zoom to see the target better.";;
"loading/tip1";"Make sure to visit the Wiki occasionally. It contains lots of questionable information.";"Make sure to visit the Encyclopedia regularly. It contains lots of useful information.";"Make sure to visit the Encyclopedia regularly. It contains lots of useful information.";"Make sure to visit the Encyclopedia regularly. It contains lots of useful information.";"Make sure to visit the Encyclopedia regularly. It contains lots of useful information.";"Make sure to visit the Encyclopedia regularly. It contains lots of useful information.";"Make sure to visit the Encyclopedia regularly. It contains lots of useful information.";"Make sure to visit the Encyclopedia regularly. It contains lots of useful information.";"Make sure to visit the Encyclopedia regularly. It contains lots of useful information.";"Make sure to visit the Encyclopedia regularly. It contains lots of useful information.";"Make sure to visit the Encyclopedia regularly. It contains lots of useful information.";"Make sure to visit the Encyclopedia regularly. It contains lots of useful information.";"Make sure to visit the Encyclopedia regularly. It contains lots of useful information.";"Make sure to visit the Encyclopedia regularly. It contains lots of useful information.";"Make sure to visit the Encyclopedia regularly. It contains lots of useful information.";"Make sure to visit the Encyclopedia regularly. It contains lots of useful information.";"Make sure to visit the Encyclopedia regularly. It contains lots of useful information.";"Make sure to visit the Encyclopedia regularly. It contains lots of useful information.";"Make sure to visit the Encyclopedia regularly. It contains lots of useful information.";"Make sure to visit the Encyclopedia regularly. It contains lots of useful information.";"Make sure to visit the Encyclopedia regularly. It contains lots of useful information.";;
"loading/tip2";"You can use the mouse look button {{ID_CAMERA_NEUTRAL}} to look around.";"You can use the mouse look button {{ID_CAMERA_NEUTRAL}} to look around.";"You can use the mouse look button {{ID_CAMERA_NEUTRAL}} to look around.";"You can use the mouse look button {{ID_CAMERA_NEUTRAL}} to look around.";"You can use the mouse look button {{ID_CAMERA_NEUTRAL}} to look around.";"You can use the mouse look button {{ID_CAMERA_NEUTRAL}} to look around.";"You can use the mouse look button {{ID_CAMERA_NEUTRAL}} to look around.";"You can use the mouse look button {{ID_CAMERA_NEUTRAL}} to look around.";"You can use the mouse look button {{ID_CAMERA_NEUTRAL}} to look around.";"You can use the mouse look button {{ID_CAMERA_NEUTRAL}} to look around.";"You can use the mouse look button {{ID_CAMERA_NEUTRAL}} to look around.";"You can use the mouse look button {{ID_CAMERA_NEUTRAL}} to look around.";"You can use the mouse look button {{ID_CAMERA_NEUTRAL}} to look around.";"You can use the mouse look button {{ID_CAMERA_NEUTRAL}} to look around.";"You can use the mouse look button {{ID_CAMERA_NEUTRAL}} to look around.";"You can use the mouse look button {{ID_CAMERA_NEUTRAL}} to look around.";"You can use the mouse look button {{ID_CAMERA_NEUTRAL}} to look around.";"You can use the mouse look button {{ID_CAMERA_NEUTRAL}} to look around.";"You can use the mouse look button {{ID_CAMERA_NEUTRAL}} to look around.";"You can use the mouse look button {{ID_CAMERA_NEUTRAL}} to look around.";"You can use the mouse look button {{ID_CAMERA_NEUTRAL}} to look around.";;
"loading/tip3";"You can send short messages to your team using the special menu {{ID_SHOW_VOICE_MESSAGE_LIST}}, every player will see them in their set client language.";"You can send short messages to your team using the special menu {{ID_SHOW_VOICE_MESSAGE_LIST}}, every player will see them in their own language";"You can send short messages to your team using the special menu {{ID_SHOW_VOICE_MESSAGE_LIST}}, every player will see them in their own language";"You can send short messages to your team using the special menu {{ID_SHOW_VOICE_MESSAGE_LIST}}, every player will see them in their own language";"You can send short messages to your team using the special menu {{ID_SHOW_VOICE_MESSAGE_LIST}}, every player will see them in their own language";"You can send short messages to your team using the special menu {{ID_SHOW_VOICE_MESSAGE_LIST}}, every player will see them in their own language";"You can send short messages to your team using the special menu {{ID_SHOW_VOICE_MESSAGE_LIST}}, every player will see them in their own language";"You can send short messages to your team using the special menu {{ID_SHOW_VOICE_MESSAGE_LIST}}, every player will see them in their own language";"You can send short messages to your team using the special menu {{ID_SHOW_VOICE_MESSAGE_LIST}}, every player will see them in their own language";"You can send short messages to your team using the special menu {{ID_SHOW_VOICE_MESSAGE_LIST}}, every player will see them in their own language";"You can send short messages to your team using the special menu {{ID_SHOW_VOICE_MESSAGE_LIST}}, every player will see them in their own language";"You can send short messages to your team using the special menu {{ID_SHOW_VOICE_MESSAGE_LIST}}, every player will see them in their own language";"You can send short messages to your team using the special menu {{ID_SHOW_VOICE_MESSAGE_LIST}}, every player will see them in their own language";"You can send short messages to your team using the special menu {{ID_SHOW_VOICE_MESSAGE_LIST}}, every player will see them in their own language";"You can send short messages to your team using the special menu {{ID_SHOW_VOICE_MESSAGE_LIST}}, every player will see them in their own language";"You can send short messages to your team using the special menu {{ID_SHOW_VOICE_MESSAGE_LIST}}, every player will see them in their own language";"You can send short messages to your team using the special menu {{ID_SHOW_VOICE_MESSAGE_LIST}}, every player will see them in their own language";"You can send short messages to your team using the special menu {{ID_SHOW_VOICE_MESSAGE_LIST}}, every player will see them in their own language";"You can send short messages to your team using the special menu {{ID_SHOW_VOICE_MESSAGE_LIST}}, every player will see them in their own language";"You can send short messages to your team using the special menu {{ID_SHOW_VOICE_MESSAGE_LIST}}, every player will see them in their own language";"You can send short messages to your team using the special menu {{ID_SHOW_VOICE_MESSAGE_LIST}}, every player will see them in their own language";;
"loading/help_tip01";"While in battle, press F1 to view help on the controls.";"While in battle, press F1 to view help on the controls.";"While in battle, press F1 to view help on the controls.";"While in battle, press F1 to view help on the controls.";"While in battle, press F1 to view help on the controls.";"While in battle, press F1 to view help on the controls.";"While in battle, press F1 to view help on the controls.";"While in battle, press F1 to view help on the controls.";"While in battle, press F1 to view help on the controls.";"While in battle, press F1 to view help on the controls.";"While in battle, press F1 to view help on the controls.";"While in battle, press F1 to view help on the controls.";"While in battle, press F1 to view help on the controls.";"While in battle, press F1 to view help on the controls.";"While in battle, press F1 to view help on the controls.";"While in battle, press F1 to view help on the controls.";"While in battle, press F1 to view help on the controls.";"While in battle, press F1 to view help on the controls.";"While in battle, press F1 to view help on the controls.";"While in battle, press F1 to view help on the controls.";"While in battle, press F1 to view help on the controls.";;
//air//
"loading/aircraft/newbie/tip0";"Tracers work both ways.";"Tracers work both ways.";"Tracers work both ways.";"Tracers work both ways.";"Tracers work both ways.";"Tracers work both ways.";"Tracers work both ways.";"Tracers work both ways.";"Tracers work both ways.";"Tracers work both ways.";"Tracers work both ways.";"Tracers work both ways.";"Tracers work both ways.";"Tracers work both ways.";"Tracers work both ways.";"Tracers work both ways.";"Tracers work both ways.";"Tracers work both ways.";"Tracers work both ways.";"Tracers work both ways.";"Tracers work both ways.";;
"loading/aircraft/tip1";"Go dance with the angels! ╗╘";"The Immelmann is an effective way to change direction in combat.";"The Immelmann is an effective way to change direction in combat.";"The Immelmann is an effective way to change direction in combat.";"The Immelmann is an effective way to change direction in combat.";"The Immelmann is an effective way to change direction in combat.";"The Immelmann is an effective way to change direction in combat.";"The Immelmann is an effective way to change direction in combat.";"The Immelmann is an effective way to change direction in combat.";"The Immelmann is an effective way to change direction in combat.";"The Immelmann is an effective way to change direction in combat.";"The Immelmann is an effective way to change direction in combat.";"The Immelmann is an effective way to change direction in combat.";"The Immelmann is an effective way to change direction in combat.";"The Immelmann is an effective way to change direction in combat.";"The Immelmann is an effective way to change direction in combat.";"The Immelmann is an effective way to change direction in combat.";"The Immelmann is an effective way to change direction in combat.";"The Immelmann is an effective way to change direction in combat.";"The Immelmann is an effective way to change direction in combat.";"The Immelmann is an effective way to change direction in combat.";;
"loading/aircraft/tip2";"A Barrel Roll isn't the same as an Aileron Roll.";"A loop can help you get onto your opponent's tail.";"A loop can help you get onto your opponent's tail.";"A loop can help you get onto your opponent's tail.";"A loop can help you get onto your opponent's tail.";"A loop can help you get onto your opponent's tail.";"A loop can help you get onto your opponent's tail.";"A loop can help you get onto your opponent's tail.";"A loop can help you get onto your opponent's tail.";"A loop can help you get onto your opponent's tail.";"A loop can help you get onto your opponent's tail.";"A loop can help you get onto your opponent's tail.";"A loop can help you get onto your opponent's tail.";"A loop can help you get onto your opponent's tail.";"A loop can help you get onto your opponent's tail.";"A loop can help you get onto your opponent's tail.";"A loop can help you get onto your opponent's tail.";"A loop can help you get onto your opponent's tail.";"A loop can help you get onto your opponent's tail.";"A loop can help you get onto your opponent's tail.";"A loop can help you get onto your opponent's tail.";;
